id,created_at,client_name,client_phone,car_brand,car_model,car_year,vin,status_admin,status_client,status_supplier,location,visible_to_client,is_archived,status_updated_at
1,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Audi,Solaris,2020,VIN17673457400860,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
2,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,BMW,E-Class,2020,VIN17673457400861,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
3,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Lada,X5,2020,VIN17673457400862,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
4,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,BMW,Vesta,2020,VIN17673457400863,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
5,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Lada,Solaris,2020,VIN17673457400864,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
6,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,BMW,Solaris,2020,VIN17673457400865,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
7,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Lada,Rio,2020,VIN17673457400866,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
8,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Kia,Solaris,2020,VIN17673457400867,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
9,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,BMW,Rio,2020,VIN17673457400868,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
10,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,BMW,Camry,2020,VIN17673457400869,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
11,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Mercedes,X5,2020,VIN176734574008610,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
12,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,BMW,E-Class,2020,VIN176734574008611,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
13,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Lada,E-Class,2020,VIN176734574008612,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
14,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Lada,Vesta,2020,VIN176734574008613,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
15,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Audi,E-Class,2020,VIN176734574008614,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
16,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Kia,Camry,2020,VIN176734574008615,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
17,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Lada,Rio,2020,VIN176734574008616,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
18,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Kia,Camry,2020,VIN176734574008617,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
19,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Lada,Camry,2020,VIN176734574008618,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
20,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,BMW,Vesta,2020,VIN176734574008619,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
21,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Kia,X5,2020,VIN176734574008620,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
22,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Toyota,X5,2020,VIN176734574008621,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
23,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Lada,A6,2020,VIN176734574008622,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
24,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Mercedes,A6,2020,VIN176734574008623,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
25,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Lada,Rio,2020,VIN176734574008624,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
26,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Mercedes,Rio,2020,VIN176734574008625,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
27,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Audi,A6,2020,VIN176734574008626,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
28,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Toyota,X5,2020,VIN176734574008627,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
29,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,BMW,Rio,2020,VIN176734574008628,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
30,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,BMW,E-Class,2020,VIN176734574008629,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
31,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Kia,Rio,2020,VIN176734574008630,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
32,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Lada,Solaris,2020,VIN176734574008631,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
33,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Kia,E-Class,2020,VIN176734574008632,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
34,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,BMW,Solaris,2020,VIN176734574008633,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
35,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Audi,E-Class,2020,VIN176734574008634,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
36,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Toyota,Solaris,2020,VIN176734574008635,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
37,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Mercedes,Rio,2020,VIN176734574008636,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
38,2026-01-02 09:22:20.553149+00,КЛИЕНТ № 1,+7 (999) 111-22-33,Audi,A6,2020,VIN176734574008637,В обработке,В обработке,Сбор предложений,Москва,false,false,2026-01-02 09:22:20.553149+00
